id,name,host_name,host_is_superhost,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,beds,price,review_scores_rating
12639063,Stay in the heart of Amsterdam,Merijn,f,Grachtengordel,Centrum-West,,2,$186.00,94
12640663,Bright modern apartment w/balcony!,Caroline,f,,Zuid,,1,$111.00,98
12641520,Cozy apt in the heart of Amsterdam,Karin,t,Oostelijke Eilanden en Kadijken,Centrum-Oost,,1,$99.00,97
12641684,Light and Modern apt at the Beautiful Oosterpark:),Mirjam,f,Indische Buurt,Oud-Oost,,1,$105.00,96
12642392,Light and spaceous appartment,Joost,f,Watergraafsmeer,Watergraafsmeer,,1,$96.00,
12643640,Fantastic apartment Amsterdam-Zuid!,Jo & Wouter,f,,Zuid,,3,$475.00,99
12643722,,Thomas,f,,Centrum-Oost,,2,$115.00,96
12645943,Spacious family home in beautiful Amsterdam,Lisa,f,,De Pijp - Rivierenbuurt,,4,$291.00,80
12646536,Citycentre room in Amsterdam + Free WIFI!,Saskia,f,Grachtengordel,Centrum-Oost,,1,$110.00,93
12661055,Bright room next to public transport,Elsa,f,Slotermeer-Zuidwest,Geuzenveld - Slotermeer,,1,$60.00,100
12661281,Spacious two-floor rooftop (2) family appartment,Derk,f,,De Baarsjes - Oud-West,,3,$210.00,99
12665344,Studio in centrum with a nice canal view,Isadora And Cristian,f,Nieuwmarkt en Lastage,Centrum-Oost,,1,$100.00,92
12672960,luxurious apartment Amsterdam Centre,Stefan,f,Westelijke Eilanden,Centrum-West,,1,$350.00,100
12674363,"Luxe studio, private entree, 3 km/10 min. from CS",Isa,t,,Noord-West,,1,$45.00,96
12676223,Spacious Apartment Light & Bright,Katinka,f,Westelijke Eilanden,Centrum-West,,2,$225.00,97
12676262,Albert Cuyp Renovated Appartment,Nicole,f,De Pijp,De Pijp - Rivierenbuurt,,1,$90.00,
12679290,"Bright, cosy apartment with balcony",Evi,f,Oosterparkbuurt,Oud-Oost,,1,$95.00,96
12679421,Spacious 1 br apartment in trendy neighbourhood,Martin,f,,Oud-Oost,,1,$120.00,92
12681742,"Appartement 90m2, Amsterdam centrum,Rembrandt park",Joyceline,f,,Slotervaart,,2,$125.00,100
12693631,"Comfortable apartment in the ""De Pijp"" area | 2P",Ed,f,De Pijp,De Pijp - Rivierenbuurt,,1,$193.00,96
12694637,Quiet apartment with sunny garden,Laurens,f,Oud-West,De Baarsjes - Oud-West,,1,$96.00,98
12694820,Cozy in hip location! Fit for art!,Dmitri,f,Indische Buurt,Oostelijk Havengebied - Indische Buurt,,2,$90.00,96
12697147,lovely bright apartment in popular district,Merel,f,,Oud-Oost,,1,$120.00,100
12697504,2-floor Jordan / centre appartment,Benjamin & Brigitte,f,Jordaan,Centrum-West,,1,$187.00,100
12699754,2 Bedroom Flat with Private Garden Vondelpark,Kay,f,,De Baarsjes - Oud-West,,2,$233.00,99
12699939,Wonderful apartment in Amsterdam,Sebastiaan,f,De Pijp,De Pijp - Rivierenbuurt,,1,$145.00,97
12699950,Very spacious appartment (85m2),Mark,f,Slotervaart,Slotervaart,,1,$72.00,87
12702737,Lovely family house with patio,Monique&Robert,f,Oost,IJburg - Zeeburgereiland,,4,$185.00,93
12707127,Private room in nice Amsterdam,George,f,Oud-West,De Baarsjes - Oud-West,,1,$38.00,91
12717484,Lovely fully furnished apartment in the Pijp,Kimmi,f,,De Pijp - Rivierenbuurt,,1,$145.00,97
12719915,Amsterdam nearby Rijksmuseum,Marcel,f,De Pijp,De Pijp - Rivierenbuurt,,2,$95.00,100
12727489,Apartment 1707,Emmett,f,De Wallen,Centrum-West,,6,$579.00,60
12743606,Stylish & spacious apartment in the centre,Julia,f,De Pijp,Centrum-Oost,,1,$195.00,98
12743684,"great central, design apartment!!",Remco & Jo,f,Bos en Lommer,Bos en Lommer,,1,$104.00,96
12744183,Beautiful roofterrace apartment,Mark,f,Oud-West,De Baarsjes - Oud-West,,1,$100.00,99
12749738,Sunny Family Home in Green Area,Sunny,f,Tuindorp Nieuwendam,Oud-Noord,,4,$107.00,90
12749937,Cosy room in ap. next to windmill in Amsterdam,Jonathan,f,Oostelijke Eilanden en Kadijken,Oud-Oost,,1,$70.00,99
12752446,Beautiful apartment near Vondelpark,Andrew,f,Hoofddorppleinbuurt,Zuid,,1,$166.00,89
12756139,Whole house with a great garden,Anne,f,,Gaasperdam - Driemond,,2,$101.00,100
12757973,Sunny cosy centrally located apartment,Sander,f,Oud-West,De Baarsjes - Oud-West,,1,$189.00,100
12761226,Nice Room in a spacious appartment,Tim,f,,Noord-Oost,,2,$59.00,88
12761526,Low leveled house with small garden,Thomas,f,,Watergraafsmeer,,1,$89.00,95
12769180,Apartment 4 pax,Victor,f,Indische Buurt,Oostelijk Havengebied - Indische Buurt,,3,$114.00,97
12770153,Cosy apartment in 'de Pijp',Nadine,t,,De Pijp - Rivierenbuurt,,1,$110.00,100
12771038,Beautiful spacious bedroom (25m²),Jacob,t,Slotervaart,Slotervaart,,1,$95.00,96
12771199,,Jochem,f,,Watergraafsmeer,,2,$148.00,94
12771666,Family appartment with big garden,Paul,f,Oud-West,De Baarsjes - Oud-West,,5,$130.00,100
12772014,"Sunny Large City apartment, free parking.",Peter,f,Buikslotermeer,Noord-Oost,,2,$123.00,93
12772984,Quiet & spacious family home with view on Amstel!,Thijs,f,,Watergraafsmeer,,4,$250.00,98
12774070,"Spacious apartment in the ""Pijp""",Thomas,f,De Pijp,De Pijp - Rivierenbuurt,,2,$222.00,96
12774908,Modern & light apartment in the trendy 'Pijp' area,Martje,f,De Pijp,De Pijp - Rivierenbuurt,,1,$144.00,100
12779835,"Warm and cosy atmosphere, Prinseneiland",Marijje,f,Westelijke Eilanden,Centrum-West,,5,$220.00,60
12782756,,Diana,f,,Westerpark,,2,$120.00,100
12786067,Cosy apartment at center Amsterdam with rooftop,Inge,t,Westelijke Eilanden,Centrum-West,,1,$140.00,99
12787303,Beautiful apartment + roof terrace,Willemijn,f,De Pijp,De Pijp - Rivierenbuurt,,2,$200.00,
12788194,Beautiful apartment in de Pijp!,Tim,f,,De Pijp - Rivierenbuurt,,2,$180.00,97
12792619,Knus appartement in centrum A'dam,Elles,f,Oud-West,De Baarsjes - Oud-West,,2,$108.00,97
12792988,Lovely Apartment in Oud-West,Lorrach,f,Oud-West,De Baarsjes - Oud-West,,1,$95.00,
12793482,Nice house with a big living,Wytze,f,Rivierenbuurt,De Pijp - Rivierenbuurt,,1,$120.00,100
12793727,Big 2 bedroom apt. near city centre,Petra,f,Bos en Lommer,Bos en Lommer,,2,$125.00,98
12794516,Trendy Apartment in Amsterdam Oost,Louis+Aimee,f,,Oud-Oost,,1,$100.00,93
12794912,Romantic room with canal view.,Bob,f,Jordaan,Centrum-West,,1,$95.00,93
12795600,Lovely house with garden near centre of Amsterdam,Dorien,f,Slotermeer-Noordoost,Geuzenveld - Slotermeer,,3,$164.00,98
12799711,"Family house in ""Ams School"" style",Jouke,f,Watergraafsmeer,Watergraafsmeer,,3,$85.00,100
12801086,,Saskia,f,Oud-West,De Baarsjes - Oud-West,,1,$100.00,
12801514,"Studio @30m from Vondelpark, in a quiet street.",Kenneth,t,,De Baarsjes - Oud-West,,1,$93.00,97
12803920,Amazing appartment with balcony,David,f,,De Baarsjes - Oud-West,,2,$325.00,70
12804502,Sunny & spacious + rooftop terrace,Sophie,f,Oud-West,De Baarsjes - Oud-West,,1,$188.00,97
12806203,Stylish apartment near city center,Ea,f,Oosterparkbuurt,Oud-Oost,,1,$170.00,95
12807997,Bedroom in a large flat,Toni,f,,Zuid,,1,$70.00,97
12808277,Unique house with big sunny garden,Barbara En Arjan,f,Oud-West,De Baarsjes - Oud-West,,2,$400.00,99
12809324,Spacious and light corner apartment,Lilia,f,,De Baarsjes - Oud-West,,2,$140.00,95
12816202,Design appartement Plantage buurt,Pia,f,Oostelijke Eilanden en Kadijken,Centrum-Oost,,1,$110.00,
12816473,"Bright & Cosy ""De Pijp"" apartment",Harm,f,De Pijp,De Pijp - Rivierenbuurt,,2,$140.00,75
12817207,Charming City Centre Apartment,Rik,f,Jordaan,Centrum-West,,1,$105.00,93
12817736,Cozy private room in Amsterdam - double bed,Roberto,f,Oud-West,De Baarsjes - Oud-West,,2,$120.00,90
12818992,spacious rooftop apartment,Sybren,f,Oud-West,De Baarsjes - Oud-West,,1,$107.00,100
12820327,Beautiful sunny private room.,Pedro,f,Indische Buurt,Oud-Oost,,2,$89.00,90
12820974,"Quiet, central ground floor apt",Jeroen,t,Frederik Hendrikbuurt,Westerpark,,1,$149.00,95
12822250,Quiet apartment in lovely neighbourhood,Reinier,f,,Oostelijk Havengebied - Indische Buurt,,1,$109.00,99
12823533,Close to city centre and Vondelpark,Leonie,f,Oud-West,De Baarsjes - Oud-West,,1,$98.00,100
12824053,Spacious home nearby Amsterdam RAI,Brendan,f,,De Pijp - Rivierenbuurt,,1,$150.00,90
12824747,Spacious Apartment with (free) Private Parking,Estefania,f,,Oud-Oost,,1,$149.00,98
12826019,close to schiphol airport,Mary,f,,De Aker - Nieuw Sloten,,1,$66.00,89
12832684,Vintage apartment in the heart of Amsterdam!,Yvonne,f,Grachtengordel,Centrum-Oost,,2,$250.00,97
